Name
Academy Rector
Land Tax
Auriok Champion
Replenish
Ancestral Vision
"Jace, Memory Adept"
Sakashima the Impostor
Cryptic Command
Lighthouse Chronologist
"Tamiyo, the Moon Sage"
Bitterblossom
Infernal Tutor
Rise of the Dark Realms
Diabolic Intent
Massacre Wurm
Vampiric Tutor
Aggravated Assault
Sneak Attack
"Purphoros, God of the Forge"
Aluren
Exploration
Chord of Calling
Glimpse of Nature
Vengevine
Spike Weaver
"Sigarda, Host of Herons"
"Venser, the Sojourner"
All is Dust
"Emrakul, the Promised End"
Sword of Fire and Ice
Grim Monolith
Trinisphere
Helm of Obedience
"Ugin, the Spirit Dragon"
Ajani Goldmane
"Linvala, Keeper of Silence"
Containment Priest
Sanctum Prelate
Back to Basics
"Jace, Vryn's Prodigy"
Snapcaster Mage
Disrupting Shoal
Mana Drain
Tezzeret the Seeker
Contamination
Liliana of the Dark Realms
"Sheoldred, Whispering One"
Exquisite Blood
Nirkana Revenant
Wound Reflection
Blood Moon
Shattering Spree
Asceticism
Food Chain
Concordant Crossroads
Helix Pinnacle
Nissa Revane
"Thrun, the Last Troll"
Sliver Queen
Sliver Overlord
Batterskull
Gauntlet of Power
Thrumming Stone
"Kozilek, Butcher of Truth"
Umezawa's Jitte
Krark-Clan Ironworks
Urza's Incubator
Archangel of Thune
Recruiter of the Guard
"Elesh Norn, Grand Cenobite"
Stoneforge Mystic
Consecrated Sphinx
Leyline of Anticipation
"Teferi, Temporal Archmage"
Empress Galina
Meditate
Time Stretch
Damnation
"Liliana, the Last Hope"
Sorin Markov
Ghoulcaller Gisa
Ob Nixilis of the Black Oath
Yawgmoth's Will
Chandra Ablaze
Balefire Dragon
Through the Breach
Bear Umbra
"Garruk, Caller of Beasts"
Defense of the Heart
Life from the Loam
"Omnath, Locus of Mana"
"Vorinclex, Voice of Hunger"
"Tezzeret, Agent of Bolas"
"Sorin, Solemn Visitor"
Chromatic Lantern
Karn Liberated
"Ulamog, the Infinite Gyre"
Lotus Petal
Vedalken Orrery
Mana Crypt
Wurmcoil Engine
Daybreak Coronet
Runed Halo
"Elspeth, Sun's Champion"
"Thalia, Guardian of Thraben"
Cyclonic Rift
Lord of Atlantis
Time Spiral
Flusterstorm
Mistbind Clique
Training Grounds
Death Baron
Living End
Thoughtseize
Grave Pact
Phyrexian Obliterator
Goblin Guide
Braid of Fire
Wheel of Fortune
Bloom Tender
Garruk Wildspeaker
Doubling Season
Mirri's Guile
Prismatic Omen
Parallel Lives
"Xenagos, God of Revels"
Voice of Resurgence
Crucible of Worlds
Lion's Eye Diamond
Akroma's Memorial
Mesmeric Orb
Alhammarret's Archive
Metalworker
Elspeth Tirel
Teferi's Protection
"Gideon, Ally of Zendikar"
Expropriate
Mind Over Matter
Treachery
Glen Elendra Archmage
Pact of Negation
Wanderwine Prophets
Entomb
"Mikaeus, the Unhallowed"
Bloodghast
Leyline of the Void
Shallow Grave
"Kiki-Jiki, Mirror Breaker"
Goblin Lackey
Craterhoof Behemoth
Khalni Hydra
Fauna Shaman
Noble Hierarch
Tarmogoyf
Survival of the Fittest
"Sorin, Grim Nemesis"
Amulet of Vigor
Mirror Gallery
Chalice of the Void
Null Rod
Champion's Helm
Phyrexian Altar
"Elspeth, Knight-Errant"
Solitary Confinement
Enlightened Tutor
Wrath of God
Dream Halls
Master Transmuter
Time Warp
Forced Fruition
Mystical Tutor
True-Name Nemesis
Demonic Tutor
Marrow-Gnawer
Unmask
Hatred
Recurring Nightmare
Goblin Lore
Fiery Confluence
Collected Company
Greater Good
"Eladamri, Lord of Leaves"
Natural Order
"Selvala, Heart of the Wilds"
Scapeshift
Sliver Hivelord
Aether Vial
Memory Jar
Anvil of Bogardan
Mox Diamond
Arcbound Ravager
Mox Opal
Ethersworn Canonist
Weathered Wayfarer
Leyline of Sanctity
Force of Will
Mystic Confluence
Vendilion Clique
Jace Beleren
Patron Wizard
"Geth, Lord of the Vault"
No Mercy
Collective Brutality
Liliana of the Veil
"Skithiryx, the Blight Dragon"
Legion Loyalist
Imperial Recruiter
Deranged Hermit
Mana Reflection
Enchantress's Presence
Primal Vigor
Vigor
Tooth and Nail
The Mimeoplasm
Blightsteel Colossus
Mycosynth Lattice
Cloud Key
Scroll Rack
Cloudstone Curio
Sensei's Divining Top
Idyllic Tutor
Angelic Destiny
Opalescence
Palinchron
Intuition
Bribery
"Kira, Great Glass-Spinner"
Show and Tell
Grave Titan
Reanimate
Dark Confidant
Lord of the Undead
Toxic Deluge
Scourge of the Throne
Magus of the Moon
Elvish Champion
Berserk
"Garruk, Primal Hunter"
Sylvan Library
"Rofellos, Llanowar Emissary"
"Sorin, Lord of Innistrad"
Darksteel Forge
Staff of Domination
Engineered Explosives
Sword of Light and Shadow
Ensnaring Bridge
Sword of War and Peace
Greater Auramancy
"Ajani, Caller of the Pride"
Monastery Mentor
Gilded Drake
Omniscience
Arcum Dagsson
"Jace, the Mind Sculptor"
Rhystic Study
Goryo's Vengeance 
Patriarch's Bidding
Corpse Dance
Liliana Vess
Surgical Extraction
Mana Echoes
Koth of the Hammer
Earthcraft
"Azusa, Lost but Seeking"
"Freyalise, Llanowar's Fury"
Seedborn Muse
Oracle of Mul Daya
Worldly Tutor
Sliver Legion
Chrome Mox
Rings of Brighthearth
Doubling Cube
Steel Overseer
Eldrazi Conscription
Sword of Body and Mind
Darkslick Shores
Deserted Temple
Dryad Arbor
Dust Bowl
Eldrazi Temple
Fetid Heath
Fire-Lit Thicket
Flagstones of Trokair
Flooded Grove
Flooded Strand
Gaea's Cradle
Gemstone Caverns
Gilt-Leaf Palace
Glimmervoid
Godless Shrine
Graven Cairns
Grove of the Burnwillows
Hall of the Bandit Lord
Hallowed Fountain
Horizon Canopy
Inkmoth Nexus
Karakas
Lake of the Dead
Lotus Vale
Marsh Flats
Maze of Ith
"Minamo, School at Water's Edge"
Misty Rainforest
Mutavault
Mystic Gate
"Oboro, Palace in the Clouds"
Overgrown Tomb
Polluted Delta
Phyrexian Tower
Raging Ravine
Razorverge Thicket
Reflecting Pool
Riptide Laboratory
Rishadan Port
Rugged Prairie
Sacred Foundry
Scalding Tarn
Scorched Ruins
Stomping Ground
Steam Vents
Strip Mine
Sunken Ruins
Swarmyard
Temple Garden
Thawing Glaciers
Tolarian Academy
Twilight Mire
Undiscovered Paradise
"Urborg, Tomb of Yawgmoth"
Verdant Catacombs
Vesuva
Volrath's Stronghold
Wasteland
Watery Grave
Winding Canyons
Windswept Heath
Wooded Bastion
Wooded Foothills
Yavimaya Hollow
"Ashiok, Nightmare Weaver"
"Ajani, Mentor of Heroes"
Ajani Vengeant
"Animar, Soul of Elements"
"Athreos, God of Passage"
Aura Shards
Captain Sisay
Dack Fayden
"Daretti, Ingenious Iconoclast"
Deathbringer Liege
Dragon Broodmother
Dragonlord Dromoka
Fulminator Mage
Gaddock Teeg
"Garruk, Apex Predator"
"Karrthus, Tyrant of Jund"
"Kaya, Ghost Assassin"
"Leovold, Emissary of Trest"
Kaalia of the Vast
Kolaghan's Command
Lich Lord of Unx
Lord of Extinction
Maelstrom Archangel
Maelstrom Nexus
Maelstrom Pulse
Maelstrom Wanderer
Meddling Mage
Mirari's Wake
"Nahiri, the Harbinger"
Narset Transcendent
"Nicol Bolas, Planeswalker"
Ral Zarek
Riku of two Reflections
Rhys the Redeemed
Sarkhan Vol
Sarkhan the Mad
Sen Triplets
Privileged Position
Sarkhan Unbroken
Anointed Procession
As Foretold
"Angrath, the Flame-Chained"
Blooming Marsh
Bountiful Promenade
Carnage Tyrant
Clifftop Retreat
"Chandra, Torch of Defiance"
Concealed Courtyard
Combat Celebrant
Dire Fleet Daredevil
Disallow
Fetid Pools
"Elenda, the Dusk Rose"
Gideon of the Trials
"Ghalta, Primal Hunger"
Goblin Chainwhirler
Growing Rites of Itlimoc
Heroic Intervention
Hazoret the Fervent
Hinterland Harbor
"Huatli, Dinosaur Knight"
Inspiring Vantage
Isolated Chapel
"Karn, Scion of Urza"
Jadelight Ranger
Legion's Landing
"Kumena, Tyrant of Orazca"
