Az,Time,Starting Amt.,Deposit,Withdrawal,Ending Amt,Reason,Managers Initials,Seller
2020-10-10,,"1,466.50",,570.00,896.50,trade In,ZAK,
2020-10-10,,896.50,,230.00,666.50,trade In,ZAK,
2020-10-10,,666.50,,50.00,616.50,trade In,ZAK,
2020-10-10,,616.50,773.00,,"1,389.50",daily deposit,ZAK,
2020-10-11,,"1,389.50",,49.00,"1,340.50",for the drawer,ZAK,
2020-10-11,,"1,340.50",,"1,920.00",-579.50,trade In,ZAK,
2020-10-12,,-579.50,,40.00,-619.50,trade in ,JJ,
2020-10-12,,-619.50,"2,000.00",,"1,380.50",Josh restock,KB,
2020-10-12,,"1,380.50",147.00,,"1,527.50",daily deposit,KB,
2020-10-12,,"1,527.50",189.00,,"1,716.50",safe balance,KB,
2020-10-13,,"1,716.50",,50.00,"1,666.50",trade in ,ZAK,
2020-10-13,,"1,666.50",,400.00,"1,266.50",trade in ,ZAK,
2020-10-13,,"1,266.50",,89.00,"1,177.50",trade in ,ZAK,
2020-10-13,,"1,177.50",,300.00,877.50,trade in ,ZAK,
2020-10-13,,877.50,55.00,,932.50,daily deposit,ZAK,
2020-10-14,,932.50,161.00,,"1,093.50",daily deposit,KB,
2020-10-15,,"1,093.50",67.00,,"1,160.50",daily deposit,ZAK,
2020-10-15,,"1,160.50",,"1,521.00",-360.50,balancing,ZAK,
2020-10-16,,-360.50,"2,000.00",,"1,639.50",Restock from bank,LK,
2020-10-16,,"1,639.50",,482.00,"1,157.50",Trade In,LK,
2020-10-16,,"1,157.50",,450.00,707.50,Trade in,JJ,
2020-10-16,,707.50,,140.00,567.50,Trade in,LK,
2020-10-16,,567.50,685.00,,"1,252.50",Daily Deposit. Register $18 off,LK,
2020-10-17,,"1,252.50",,128.00,"1,124.50",Trade In,LK,
2020-10-17,,"1,124.50",,213.00,911.50,Trade In,LK,
2020-10-17,,911.50,460.00,,"1,371.50",Daily Deposit. Register $18 off,LK,
2020-10-18,,"1,371.50",,62.00,"1,309.50",Trade In,WK,
2020-10-18,2:30,"1,309.50",,"1,275.00",34.50,Trade In,WK,Albert Mason Birckhead 3rd - B-623-041588-116
2020-10-18,,34.50,294.00,,328.50,Daily Deposit. Drop $2 over.,wk,
2020-10-19,,328.50,"4,000.00",,"4,328.50",Safe restock,KB,
2020-10-19,,"4,328.50",,138.00,"4,190.50",Trade in,JJ,
2020-10-19,,"4,190.50",,56.00,"4,134.50",Trade in,JJ,
2020-10-19,,"4,134.50",,580.00,"3,554.50",Trade in,JJ,
2020-10-19,,"3,554.50",,62.00,"3,492.50",Trade in,JJ,
2020-10-19,,"3,492.50",194.00,,"3,686.50",Trade In,KB,
2020-10-20,,"3,686.50",,582.00,"3,104.50",Trade In,ZAK,
2020-10-20,,"3,104.50",,"1,000.00","2,104.50",Trade In,ZAK,
2020-10-20,,"2,104.50",,352.00,"1,752.50",Trade In,ZAK,
2020-10-20,,"1,752.50",,190.00,"1,562.50",Trade In,ZAK,
2020-10-21,,"1,562.50",114.00,,"1,676.50",Daily Deposit,KB,
2020-10-22,,"1,676.50",,717.00,959.50,Trade In,ZAK,
2020-10-22,,959.50,,154.00,805.50,Trade In,ZAK,
2020-10-22,,805.50,,969.00,-163.50,Trade In,ZAK,
2020-10-22,,-163.50,72.00,,-91.50,Daily Deposit,ZAK,
2020-10-23,,-91.50,,207.00,-298.50,Safe Balance,KB,
2020-10-23,,-298.50,154.00,,-144.50,Daily Deposit,KB,
2020-10-26,,-144.50,,494.00,-638.50,Safe Balance,KB,
2020-10-26,,-638.50,"4,002.00",,"3,363.50",Safe restock,KB,
2020-10-26,,"3,363.50",,285.00,"3,078.50",Drawer Balance,KB,
